,title,genres,primaryGenre,contentRating,languages,size,requiredOsVersion,released,updated,version,price,currency,free,score,reviews,currentVersionScore,currentVersionReviews,collection,lang
4319,UNO!™,"['Games', 'Family', 'Entertainment', 'Card']",Games,4+,"['AR', 'EN', 'FR', 'DE', 'IT', 'JA', 'KO', 'PT', 'RU', 'ZH', 'ES', 'ZH']",542288896,12.0,2018-11-15T17:29:23Z,2024-07-22T07:51:24Z,1.0.80,0.0,USD,True,4.68674,547529,4.68674,547529,TOP_FREE_IOS,ru
1303,osu!stream,"['Games', 'Casual', 'Music']",Games,4+,[],55218176,9.0,2011-08-01T14:05:25Z,2020-02-26T08:47:29Z,2020,0.0,USD,True,3.33163,1565,3.33163,1565,TOP_FREE_IOS,en
6471,Truth or Dare · by Partybus,"['Games', 'Trivia', 'Entertainment']",Games,17+,"['DA', 'NL', 'EN', 'FR', 'DE', 'IT', 'NB', 'PT', 'RU', 'ES', 'SV']",102470656,11.0,2022-06-21T07:00:00Z,2023-10-02T16:27:15Z,2.1,0.0,USD,True,4.44439,15430,4.44439,15430,TOP_GROSSING_IOS,en
6463,Pocket Girl,"['Games', 'Entertainment', 'Simulation', 'Trivia']",Games,17+,"['AR', 'EN', 'FR', 'IT']",127659008,14.0,2018-02-03T04:27:32Z,2024-04-13T23:45:20Z,22,0.0,USD,True,4.1528,11944,4.1528,11944,TOP_GROSSING_IOS,en
346,GarveloVolo,['Utilities'],Utilities,4+,['EN'],10272768,12.0,2024-07-28T09:53:48Z,2024-07-28T09:53:48Z,1.0,0.0,USD,True,0.0,0,0.0,0,NEW_IOS,ru
9282,Titan Slots™ II - Vegas Slots,"['Games', 'Entertainment', 'Casino', 'Card']",Games,17+,"['EN', 'ZH', 'ZH']",125243392,8.0,2015-12-17T20:17:20Z,2017-09-28T02:46:23Z,2.11,0.0,USD,True,4.44393,651,4.44393,651,TOP_GROSSING_IPAD,ru
7839,Ragnarok Origin: ROO,"['Games', 'Role Playing', 'Adventure']",Games,12+,"['EN', 'JA', 'PT', 'ZH', 'ES']",3866144768,12.0,2024-02-27T08:00:00Z,2024-07-10T12:10:14Z,7.3.3,0.0,USD,True,3.31481,54,3.31481,54,TOP_GROSSING_IPAD,en
12521,FreeCell,"['Games', 'Casino', 'Entertainment', 'Card']",Games,4+,"['EN', 'ZH']",233752576,10.0,2019-02-12T08:00:00Z,2020-05-26T18:07:54Z,5.4.0,4.99,USD,False,4.79725,20745,4.79725,20745,TOP_PAID_IPAD,en
4841,Yandex Eats: food delivery,"['Food & Drink', 'Lifestyle']",Food & Drink,4+,"['HY', 'EN', 'KK', 'RU', 'UZ']",302981120,15.0,2016-03-17T16:21:28Z,2024-07-24T14:40:19Z,7.22.0,0.0,USD,True,4.74084,5375,4.74084,5375,TOP_FREE_IOS,ru
404,Happy Birthday Wishes GIF,['Stickers'],Stickers,4+,['EN'],13198336,10.0,2019-09-09T07:00:00Z,2024-07-28T04:15:32Z,1.0,0.99,USD,False,0.0,0,0.0,0,NEW_PAID_IOS,en
605,Highway Overtake - Car Racing,"['Games', 'Racing', 'Action']",Games,4+,"['EN', 'FR', 'DE', 'JA', 'KO', 'ZH', 'ES', 'ZH']",399462400,12.0,2023-08-27T07:00:00Z,2024-07-25T07:59:52Z,1.1,0.0,USD,True,4.48566,1709,4.48566,1709,TOP_FREE_IOS,en
7408,NBA 2K24 MyTEAM,"['Games', 'Sports']",Games,4+,"['EN', 'FR', 'DE', 'IT', 'JA', 'KO', 'ZH', 'ES', 'ZH']",3464486912,14.0,2024-01-30T08:00:00Z,2024-06-26T15:02:49Z,1.07,0.0,USD,True,4.73191,71195,4.73191,71195,TOP_GROSSING_IOS,ru
2851,Cooking Diary® Restaurant Game,"['Games', 'Strategy', 'Entertainment', 'Casual']",Games,12+,"['EN', 'FR', 'DE', 'ID', 'IT', 'JA', 'KO', 'PT', 'RU', 'ZH', 'ES', 'ZH']",687166464,12.0,2018-08-07T11:29:58Z,2024-07-17T03:13:43Z,2.29.0,0.0,USD,True,4.73434,157710,4.73434,157710,TOP_FREE_IPAD,en
11140,Rusty Lake: Roots,"['Games', 'Adventure', 'Puzzle']",Games,12+,"['NL', 'EN', 'FR', 'DE', 'IT', 'JA', 'KO', 'PL', 'PT', 'RU', 'ZH', 'ES', 'ZH', 'TR']",104827904,8.1,2016-10-20T22:21:00Z,2019-02-13T22:23:30Z,1.2,2.99,USD,False,4.80354,1018,4.80354,1018,TOP_PAID_IOS,ru
9877,You are Hope,"['Games', 'Role Playing', 'Simulation']",Games,9+,"['EN', 'FR', 'DE', 'JA', 'KO', 'PT', 'RU', 'ZH', 'ES']",177022976,12.1,2018-08-17T08:59:55Z,2023-03-24T12:07:50Z,2.25.0,3.99,USD,False,4.35417,1056,4.35417,1056,TOP_PAID_IOS,en
882,Gossip Harbor®: Merge & Story,"['Games', 'Puzzle', 'Casual']",Games,12+,"['EN', 'FR', 'DE', 'IT', 'JA', 'KO', 'PT', 'ZH', 'ES', 'ZH']",990553088,12.0,2022-07-07T07:00:00Z,2024-07-24T14:25:20Z,3.46.0,0.0,USD,True,4.68783,54577,4.68783,54577,TOP_FREE_IOS,en
1052,Caesars Slots: Casino Games,"['Games', 'Card', 'Casino', 'Entertainment']",Games,17+,[],327825408,13.0,2013-06-13T07:00:00Z,2024-07-22T19:36:59Z,5.34,0.0,USD,True,4.66167,128426,4.66167,128426,TOP_FREE_IOS,en
6902,Root Board Game,"['Games', 'Strategy', 'Board']",Games,9+,"['CS', 'EN', 'FR', 'DE', 'IT', 'JA', 'PL', 'RU', 'ZH', 'ES']",1230373888,13.0,2020-09-24T07:00:00Z,2023-11-21T23:26:16Z,1.31.2,9.99,USD,False,4.53752,573,4.53752,573,TOP_GROSSING_IOS,ru
289,Tribal Animals Stickers,"['Stickers', 'Entertainment']",Stickers,4+,['EN'],3593216,10.0,2021-06-10T07:00:00Z,2024-07-28T04:39:02Z,1.0,0.99,USD,False,0.0,0,0.0,0,NEW_IOS,en
8002,Bingo Pop: Play Online Games,"['Games', 'Casino', 'Entertainment', 'Board']",Games,17+,"['AR', 'CA', 'DA', 'NL', 'EN', 'FI', 'FR', 'DE', 'HI', 'ID', 'IT', 'JA', 'KO', 'NB', 'PL', 'PT', 'RU', 'ZH', 'ES', 'SV', 'TH', 'ZH', 'TR', 'VI']",398391296,12.0,2013-02-18T18:32:55Z,2024-07-17T17:54:28Z,10.13.5,0.0,USD,True,4.50255,24535,4.50255,24535,TOP_GROSSING_IPAD,en
