,title,installs,score,scoreText,ratings,reviews,price,free,currency,priceText,available,offersIAP,IAPRange,genre,genreId,categories,contentRating,contentRatingDescription,adSupported,released,updated,version,preregister,earlyAccessEnabled,isAvailableInPlayPass,histogram.1,histogram.2,histogram.3,histogram.4,histogram.5,originalPrice,discountEndDate,collection,lang
4800,BetMGM Casino - Real Money,"1,000,000+",4.461607,4.5,22221.0,6774.0,0.0,True,USD,Free,True,False,,Casino,GAME_CASINO,"[{'name': 'Casino', 'id': 'GAME_CASINO'}, {'name': 'Slots', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Stylized', 'id': None}]",Adults only 18+,Real Gambling/Paid Contests,False,"Mar 3, 2021",1717161534000.0,24.05.17,False,False,False,1448.0,446.0,972.0,2886.0,16467.0,,,TOP_FREE,en
9080,Компот-kompot EDM Tiles Hop,"5,000+",,,,,0.0,True,USD,Free,True,False,,Music,GAME_MUSIC,"[{'name': 'Music', 'id': 'GAME_MUSIC'}]",Everyone,,True,"Jun 20, 2023",1687265316000.0,1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,,,TOP_FREE,ru
3847,Hit Master 3D - Knife Assassin,"100,000,000+",4.683186,4.7,304316.0,7000.0,0.0,True,USD,Free,True,True,$2.99 - $6.99 per item,Action,GAME_ACTION,"[{'name': 'Action', 'id': 'GAME_ACTION'}, {'name': 'Fighting', 'id': None}, {'name': 'Brawler', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Offline', 'id': None}]",Teen,Violence,True,"Nov 17, 2020",1721897911000.0,1.8.6.1,False,False,False,13676.0,4846.0,6455.0,14216.0,265099.0,,,TOP_FREE,en
384,Mystery Matters,"1,000,000+",4.6833425,4.7,68877.0,3136.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Adventure,GAME_ADVENTURE,"[{'name': 'Adventure', 'id': 'GAME_ADVENTURE'}, {'name': 'Puzzle-adventure', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Offline', 'id': None}]",Teen,"Blood, Sexual Themes, Violence",False,"Feb 14, 2023",1721198448000.0,2.2.1,False,False,False,1817.0,832.0,1096.0,9842.0,55281.0,,,GROSSING,en
11833,Settlement Survival,"10,000+",3.308642,3.3,925.0,59.0,5.99,False,USD,$5.99,True,False,,Simulation,GAME_SIMULATION,"[{'name': 'Business & profession', 'id': None}, {'name': 'Business empire', 'id': None}, {'name': 'City', 'id': None}]",Everyone,Alcohol Reference,False,"Mar 8, 2023",1690255669000.0,1.0.57,False,False,False,194.0,125.0,137.0,137.0,331.0,,,TOP_PAID,en
6538,Top Troops: Adventure RPG,"1,000,000+",4.5507755,4.6,60081.0,2605.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Strategy,GAME_STRATEGY,"[{'name': 'Strategy', 'id': 'GAME_STRATEGY'}, {'name': 'Tactics', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Modern', 'id': None}, {'name': 'Military', 'id': None}, {'name': 'Army', 'id': None}]",Everyone,,True,"Jul 23, 2021",1721986578000.0,1.5.10,False,False,False,2242.0,761.0,3684.0,8343.0,45036.0,,,TOP_FREE,en
4857,Borgata Casino - Real Money,"100,000+",4.46595,4.5,5550.0,1711.0,0.0,True,USD,Free,True,False,,Casino,GAME_CASINO,"[{'name': 'Casino', 'id': 'GAME_CASINO'}, {'name': 'Slots', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Stylized', 'id': None}]",Adults only 18+,Real Gambling/Paid Contests,False,"Mar 9, 2021",1717161570000.0,24.05.17,False,False,False,397.0,69.0,208.0,745.0,4127.0,,,TOP_FREE,en
11374,My Little Work – Garage,"10,000+",4.0652175,4.1,659.0,19.0,2.99,False,USD,$2.99,True,False,,Casual,GAME_CASUAL,"[{'name': 'Simulation', 'id': 'GAME_SIMULATION'}, {'name': 'Care', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone,,True,"Oct 23, 2013",1693390316000.0,2.4.0,False,False,False,97.0,0.0,41.0,124.0,381.0,,,TOP_PAID,en
7862,Butcher's Ranch: Homestead,"10,000,000+",4.4347224,4.4,57453.0,980.0,0.0,True,USD,Free,True,True,$2.99 - $49.99 per item,Arcade,GAME_ARCADE,"[{'name': 'Simulation', 'id': 'GAME_SIMULATION'}, {'name': 'Management', 'id': None}, {'name': 'Tycoon', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone 10+,"Fantasy Violence, Mild Blood",True,"Jun 3, 2023",1713440964000.0,1.22,False,False,False,3111.0,1430.0,3669.0,8372.0,40853.0,,,TOP_FREE,ru
7923,Fire Hero 2D — Space Shooter,"5,000,000+",3.625402,3.6,36304.0,2437.0,0.0,True,USD,Free,True,True,$0.99 - $23.99 per item,Arcade,GAME_ARCADE,"[{'name': 'Action', 'id': 'GAME_ACTION'}, {'name': 'Shooter', 'id': None}, {'name': 'Bulletstorm', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Abstract', 'id': None}, {'name': 'Offline', 'id': None}]",Teen,"Violence, Blood",True,"Apr 20, 2021",1720532389000.0,1.9,False,False,False,8461.0,2159.0,3031.0,3499.0,19140.0,,,TOP_FREE,ru
7259,Tile Family®:Match Puzzle Game,"10,000,000+",4.855482,4.9,342802.0,7121.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Puzzle,GAME_PUZZLE,"[{'name': 'Puzzle', 'id': 'GAME_PUZZLE'}, {'name': 'Match 3', 'id': None}, {'name': 'Match 3 adventure', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone,,True,"Nov 11, 2022",1721277046000.0,1.54.0,False,False,False,5467.0,2029.0,3984.0,13594.0,317717.0,,,TOP_FREE,ru
1510,Little Big Snake,"10,000,000+",4.124799,4.1,285447.0,4624.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Casual,GAME_CASUAL,"[{'name': 'Action', 'id': 'GAME_ACTION'}, {'name': 'IO game', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Animals', 'id': None}, {'name': 'Snake', 'id': None}, {'name': 'Fantasy', 'id': None}]",Everyone,,True,"Dec 18, 2018",1713464999000.0,2.6.92,False,False,False,33763.0,12402.0,19752.0,37920.0,181562.0,,,GROSSING,en
7787,Blockman Go,"100,000,000+",4.233971,4.2,2767905.0,53482.0,0.0,True,USD,Free,True,True,$0.29 - $199.99 per item,Arcade,GAME_ARCADE,"[{'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Minigames', 'id': None}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Pixelated', 'id': None}, {'name': 'Battling', 'id': None}, {'name': 'Fantasy', 'id': None}]",Teen,Violence,True,"Nov 29, 2017",1721992344000.0,2.88.2,False,False,False,350259.0,80518.0,126343.0,224845.0,1985875.0,,,TOP_FREE,ru
780,Dice With Buddies™ Social Game,"10,000,000+",4.1124864,4.1,195394.0,47536.0,0.0,True,USD,Free,True,True,$0.99 - $129.99 per item,Board,GAME_BOARD,"[{'name': 'Board', 'id': 'GAME_BOARD'}, {'name': 'Abstract strategy', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Single player', 'id': None}, {'name': 'Realistic', 'id': None}, {'name': 'Miscellaneous', 'id': None}, {'name': 'Dice', 'id': None}, {'name': 'Competitive', 'id': None}]",Everyone 10+,Crude Humor,True,"Mar 3, 2012",1721725916000.0,8.35.15,False,False,False,22513.0,10336.0,13909.0,24525.0,124105.0,,,GROSSING,en
8432,Stars Slots - Casino Games,"1,000,000+",4.6303635,4.6,145030.0,13053.0,0.0,True,USD,Free,True,True,$0.99 - $399.99 per item,Casino,GAME_CASINO,"[{'name': 'Casino', 'id': 'GAME_CASINO'}, {'name': 'Slots', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Stylized', 'id': None}]",Teen,Simulated Gambling,True,"Jan 3, 2019",1697197307000.0,1.0.2138,False,False,False,5655.0,1740.0,5813.0,14120.0,117693.0,,,TOP_FREE,ru
8513,Pharaoh's Casino - Ra Slots,"100,000+",4.54,4.5,1345.0,13.0,0.0,True,USD,Free,True,True,$0.99 - $299.99 per item,Casino,GAME_CASINO,"[{'name': 'Casino', 'id': 'GAME_CASINO'}]",Teen,Simulated Gambling,True,"Jun 14, 2022",1704804710000.0,1.2.0,False,False,False,80.0,53.0,53.0,26.0,1129.0,,,TOP_FREE,ru
8522,Slot Mate - Vegas Slot Casino,"1,000,000+",4.6845236,4.7,24591.0,2535.0,0.0,True,USD,Free,True,True,$0.99 - $399.99 per item,Casino,GAME_CASINO,"[{'name': 'Casino', 'id': 'GAME_CASINO'}, {'name': 'Slots', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}]",Teen,Simulated Gambling,True,"Mar 2, 2022",1715678303000.0,1.1.2,False,False,False,460.0,187.0,1190.0,2968.0,19780.0,,,TOP_FREE,ru
9254,Pop Designer - Home Renovation,"5,000,000+",4.784965,4.8,80076.0,940.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Puzzle,GAME_PUZZLE,"[{'name': 'Puzzle', 'id': 'GAME_PUZZLE'}, {'name': 'Bubble shooter', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone,,True,"Jan 2, 2022",1721988302000.0,3.6.6,False,False,False,696.0,767.0,2237.0,7628.0,68732.0,,,TOP_FREE,ru
3432,Word Puzzle Time - Crossword,"500,000+",4.9110575,4.9,18419.0,2569.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Word,GAME_WORD,"[{'name': 'Word', 'id': 'GAME_WORD'}, {'name': 'Search', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone,,True,"Jan 28, 2020",1701936012000.0,3.8.4,False,False,False,146.0,72.0,176.0,471.0,17547.0,,,GROSSING,en
11283,Viticulture,"5,000+",3.9620254,4.0,240.0,39.0,9.99,False,USD,$9.99,True,True,$9.99 per item,Board,GAME_BOARD,"[{'name': 'Board', 'id': 'GAME_BOARD'}, {'name': 'Abstract strategy', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Stylized', 'id': None}]",Everyone,,False,"Jun 8, 2020",1683619184000.0,32,False,False,False,27.0,15.0,24.0,45.0,127.0,,,TOP_PAID,en
